"","X.2","X.1","X","Date","Kick.Off..local.","Home.Team","Away.Team","Venue","Home.Score","Away.Score","Play.Off.Game.","Home.Goals","Home.Behinds","Away.Goals","Away.Behinds","Home.Odds","Away.Odds","Bookmakers.Surveyed","Home.Odds.Open","Home.Odds.Min","Home.Odds.Max","Home.Odds.Close","Away.Odds.Open","Away.Odds.Min","Away.Odds.Max","Away.Odds.Close","Home.Line.Open","Home.Line.Min","Home.Line.Max","Home.Line.Close","Away.Line.Open","Away.Line.Min","Away.Line.Max","Away.Line.Close","Home.Line.Odds.Open","Home.Line.Odds.Min","Home.Line.Odds.Max","Home.Line.Odds.Close","Away.Line.Odds.Open","Away.Line.Odds.Min","Away.Line.Odds.Max","Away.Line.Odds.Close","Total.Score.Open","Total.Score.Min","Total.Score.Max","Total.Score.Close","Total.Score.Over.Open","Total.Score.Over.Min","Total.Score.Over.Max","Total.Score.Over.Close","Total.Score.Under.Open","Total.Score.Under.Min","Total.Score.Under.Max","Total.Score.Under.Close","Notes","Home","Favorite","Underdog","Differential"
"33",33,33,33,"2019","12:40:00","Port Adelaide","Gold Coast","Adelaide Oval",89,51,NA,13,11,7,9,1.2,4.52,9,1.17,1.15,1.22,1.22,5.25,4.5,5.6,4.5,-31.5,-35.5,-28.5,-29.5,31.5,28.5,35.5,29.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,143.5,136.5,143.5,136.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,NA,1.2,1.2,4.52,3.32
"34",34,34,34,"2019","19:35:00","Essendon","Fremantle","Marvel Stadium",60,53,NA,8,12,7,11,1.44,2.78,9,1.33,1.33,1.5,1.48,3.35,2.65,3.35,2.75,-19.5,-19.5,-14.5,-14.5,19.5,14.5,19.5,14.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,166.5,165.5,166.5,165.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,NA,1.44,1.44,2.78,1.34
"35",35,35,35,"2019","19:25:00","North Melbourne","Sydney","Blundstone Arena",72,77,NA,10,12,11,11,1.41,2.93,9,1.56,1.36,1.78,1.36,2.45,2.05,3.3,3.3,-9.5,-21.5,-3.5,-21.5,9.5,3.5,21.5,21.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,167.5,163.5,167.5,163.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,NA,1.41,1.41,2.93,1.52
"36",36,36,36,"2019","16:35:00","Geelong","Western Bulldogs","GMHBA Stadium",133,89,NA,21,7,13,11,1.2,4.53,9,1.2,1.19,1.22,1.22,4.6,4.35,4.8,4.5,-29.5,-32.5,-27.5,-29.5,29.5,27.5,32.5,29.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,158.5,158.5,160.5,160.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,NA,1.2,1.2,4.53,3.33
"37",37,37,37,"2019","14:10:00","Brisbane","Adelaide","Gabba",93,92,NA,13,15,13,14,1.73,2.08,9,1.82,1.72,1.82,1.75,2,2,2.15,2.15,-1.5,-5.5,-1.5,-5.5,1.5,1.5,5.5,5.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,175.5,172.5,176.5,176.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,NA,1.73,1.73,2.08,0.35
"38",38,38,38,"2019","13:45:00","Collingwood","St Kilda","MCG",112,71,NA,17,10,10,11,1.23,4.09,8,1.14,1.14,1.28,1.24,5.75,3.85,5.75,4.25,-34.5,-34.5,-24.5,-24.5,34.5,24.5,34.5,24.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,163.5,165.5,165.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,NA,1.23,1.23,4.09,2.86
"39",39,39,39,"2019","20:10:00","West Coast","Melbourne","Optus Stadium",85,69,NA,13,7,9,15,1.27,3.72,9,1.3,1.25,1.33,1.28,3.6,3.5,4,3.85,-21.5,-25.5,-20.5,-24.5,21.5,20.5,25.5,24.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,154.5,154.5,157.5,157.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,NA,1.27,1.27,3.72,2.45
"40",40,40,40,"2019","15:20:00","Fremantle","Richmond","Optus Stadium",86,111,NA,12,14,17,9,1.6,2.32,9,2.45,1.6,2.45,1.6,1.56,1.56,2.4,2.4,10.5,-9.5,10.5,-8.5,-10.5,-10.5,9.5,8.5,1.91,1.93,1.91,1.91,1.91,1.91,1.89,1.91,153.5,153.5,156.5,156.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,NA,1.6,1.6,2.32,0.72
"41",41,41,41,"2019","15:20:00","Hawthorn","GWS Giants","MCG",71,38,NA,10,11,5,8,2.32,1.61,9,2.25,2.2,2.8,2.3,1.65,1.44,1.68,1.65,6.5,6.5,15.5,6.5,-6.5,-15.5,-6.5,-6.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,173.5,170.5,173.5,170.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,NA,2.32,1.61,2.32,0.71
"42",42,42,42,"2019","13:10:00","North Melbourne","Geelong","Marvel Stadium",80,104,NA,11,14,16,8,3.72,1.27,9,4.6,3.25,4.6,4,1.2,1.2,1.35,1.27,26.5,20.5,26.5,24.5,-26.5,-26.5,-20.5,-24.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,169.5,168.5,171.5,171.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,NA,3.72,1.27,3.72,2.45
