"","X","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"81",81,"Sun","28-Jun-2009",2009,"1:10","Geelong","Port Adelaide",21142,"Kardinia",1.05,8.63,NA,1.05,8.63,7.58,24884.9718309859,-3742.97183098592,24884.9718309859,-3742.97183098592,-0.150410933008383,1
"82",82,"Sat","27-Jun-2009",2009,"7:10","Brisbane Lions","Melbourne",23750,"Gabba",1.06,8.25,NA,1.06,8.25,7.19,20680.4862385321,3069.51376146789,20786.5428571429,2963.45714285714,0.142566138257032,7
"83",83,"Sat","27-Jun-2009",2009,"5:40","West Coast","Hawthorn",31441,"Subiaco",2.77,1.42,NA,1.42,2.77,1.35,35153.3529411765,-3712.35294117647,36141.247311828,-4700.24731182796,-0.130052160936065,5
"84",84,"Sat","27-Jun-2009",2009,"2:40","Adelaide","Sydney",38064,"Football",1.25,3.75,NA,1.25,3.75,2.5,29323.4845360825,8740.51546391753,35829.2040816327,2234.79591836734,0.0623735853376933,2
"85",85,"Sat","27-Jun-2009",2009,"2:10","Collingwood","Fremantle",44114,"M.C.G.",1.12,5.94,NA,1.12,5.94,4.82,50394.4829157175,-6280.48291571754,57107.1149425287,-12993.1149425287,-0.227521823779834,2
"86",86,"Fri","26-Jun-2009",2009,"7:40","Essendon","Carlton",83407,"M.C.G.",2.55,1.48,NA,1.48,2.55,1.07,50394.4829157175,33012.5170842825,61878.2051282051,21528.7948717949,0.347922096757485,7
"87",87,"Sun","21-Jun-2009",2009,"2:40","Fremantle","Geelong",33213,"Subiaco",7.25,1.08,NA,1.08,7.25,6.17,35153.3529411765,-1940.35294117647,34175.9680851064,-962.968085106382,-0.0281767610125443,2
"88",88,"Sat","20-Jun-2009",2009,"7:10","Sydney","Collingwood",41042,"Stadium",1.93,1.75,NA,1.75,1.93,0.18,33788.3,7253.7,34104.0555555556,6937.94444444445,0.20343458663274,7
"89",89,"Fri","19-Jun-2009",2009,"7:40","Essendon","Melbourne",42087,"Docklands",1.24,3.93,NA,1.24,3.93,2.69,31157.9865168539,10929.0134831461,36322.6666666667,5764.33333333334,0.15869796637545,7
"90",90,"Sun","29-Aug-2010",2010,"4:40","Melbourne","North Melbourne",31064,"M.C.G.",1.87,1.86,NA,1.86,1.87,0.01,50394.4829157175,-19330.4829157175,35367.7023809524,-4303.70238095238,-0.121684533945586,4
"91",91,"Sun","29-Aug-2010",2010,"2:10","Richmond","Port Adelaide",37674,"Docklands",1.62,2.22,NA,1.62,2.22,0.6,31157.9865168539,6516.01348314607,33203.6363636364,4470.36363636364,0.13463476070529,2
"92",92,"Sat","28-Aug-2010",2010,"7:10","Western Bulldogs","Essendon",26776,"Docklands",1.18,4.61,NA,1.18,4.61,3.43,31157.9865168539,-4381.98651685393,28841.2391304348,-2065.23913043478,-0.0716071567207886,7
"93",93,"Sat","28-Aug-2010",2010,"7:10","Brisbane Lions","Sydney",24789,"Gabba",2.81,1.41,NA,1.41,2.81,1.4,20680.4862385321,4108.51376146789,20786.5428571429,4002.45714285714,0.192550400052781,7
"94",94,"Sat","28-Aug-2010",2010,"3:40","Adelaide","St Kilda",38121,"Football",2.53,1.49,NA,1.49,2.53,1.04,29323.4845360825,8797.51546391753,35829.2040816327,2291.79591836734,0.0639644663371744,3
"95",95,"Sat","28-Aug-2010",2010,"2:10","Hawthorn","Collingwood",76218,"M.C.G.",2.5,1.5,NA,1.5,2.5,1,50394.4829157175,25823.5170842825,49782.9508196721,26435.0491803279,0.531006072261226,2
"96",96,"Sat","28-Aug-2010",2010,"1:10","Geelong","West Coast",24099,"Kardinia",1.02,14.5,NA,1.02,14.5,13.48,24884.9718309859,-785.971830985916,24884.9718309859,-785.971830985916,-0.0315841961294588,1
"97",97,"Fri","27-Aug-2010",2010,"6:40","Fremantle","Carlton",39376,"Subiaco",1.53,2.4,NA,1.53,2.4,0.87,35153.3529411765,4222.64705882353,34175.9680851064,5200.03191489362,0.152154633979769,6
"98",98,"Sun","22-Aug-2010",2010,"2:40","West Coast","North Melbourne",32007,"Subiaco",2.25,1.61,NA,1.61,2.25,0.64,35153.3529411765,-3146.35294117647,36141.247311828,-4134.24731182796,-0.114391384341485,2
"99",99,"Sun","22-Aug-2010",2010,"2:10","Essendon","Brisbane Lions",28785,"Docklands",1.63,2.21,NA,1.63,2.21,0.58,31157.9865168539,-2372.98651685393,36322.6666666667,-7537.66666666666,-0.20751963879304,2
"100",100,"Sun","22-Aug-2010",2010,"12:40","Port Adelaide","Melbourne",21086,"Football",1.92,1.81,NA,1.81,1.92,0.11,29323.4845360825,-8237.48453608247,22682.2291666667,-1596.22916666667,-0.0703735578605498,12
"101",101,"Sat","21-Aug-2010",2010,"7:10","Collingwood","Adelaide",42159,"M.C.G.",1.05,9.75,NA,1.05,9.75,8.7,50394.4829157175,-8235.48291571754,57107.1149425287,-14948.1149425287,-0.261755736698871,7
"102",102,"Sat","21-Aug-2010",2010,"7:10","Sydney","Western Bulldogs",36554,"S.C.G.",2.05,1.72,NA,1.72,2.05,0.33,29955.7356321839,6598.26436781609,29955.7356321839,6598.26436781609,0.220267145124857,7
"103",103,"Sat","21-Aug-2010",2010,"2:10","St Kilda","Richmond",33944,"Docklands",1.08,7.7,NA,1.08,7.7,6.62,31157.9865168539,2786.01348314607,30626.3473684211,3317.65263157895,0.10832674858902,2
"104",104,"Sat","21-Aug-2010",2010,"2:10","Hawthorn","Fremantle",15532,"York",1.09,7.25,NA,1.09,7.25,6.16,14457.1578947368,1074.84210526316,14457.1578947368,1074.84210526316,0.0743467086054623,2
"105",105,"Fri","20-Aug-2010",2010,"7:40","Geelong","Carlton",45172,"Docklands",1.17,4.82,NA,1.17,4.82,3.65,31157.9865168539,14014.0134831461,39256,5916,0.150703077236601,7
"106",106,"Sun","15-Aug-2010",2010,"4:40","North Melbourne","St Kilda",23118,"Docklands",3.98,1.24,NA,1.24,3.98,2.74,31157.9865168539,-8039.98651685393,27670.4819277108,-4552.48192771084,-0.164524851414016,4
"107",107,"Sun","15-Aug-2010",2010,"2:10","Hawthorn","Melbourne",48211,"M.C.G.",1.63,2.22,NA,1.63,2.22,0.59,50394.4829157175,-2183.48291571754,49782.9508196721,-1571.95081967213,-0.0315760876723876,2
"108",108,"Sun","15-Aug-2010",2010,"1:10","Brisbane Lions","Adelaide",25403,"Gabba",2.06,1.7,NA,1.7,2.06,0.36,20680.4862385321,4722.51376146789,20786.5428571429,4616.45714285714,0.222088741479721,1
"109",109,"Sat","14-Aug-2010",2010,"7:10","Port Adelaide","West Coast",14113,"Football",1.33,3.25,NA,1.33,3.25,1.92,29323.4845360825,-15210.4845360825,22682.2291666667,-8569.22916666667,-0.377794841225739,7
"110",110,"Sat","14-Aug-2010",2010,"7:10","Western Bulldogs","Geelong",42199,"Docklands",2.38,1.56,NA,1.56,2.38,0.82,31157.9865168539,11041.0134831461,28841.2391304348,13357.7608695652,0.463147953149815,7
"111",111,"Sat","14-Aug-2010",2010,"2:10","Carlton","Richmond",44716,"M.C.G.",1.3,3.42,NA,1.3,3.42,2.12,50394.4829157175,-5678.48291571754,52695.2941176471,-7979.29411764706,-0.151423276997611,2
"112",112,"Sat","14-Aug-2010",2010,"1:10","Fremantle","Sydney",34087,"Subiaco",1.62,2.23,NA,1.62,2.23,0.61,35153.3529411765,-1066.35294117647,34175.9680851064,-88.9680851063822,-0.00260323525832042,1
"113",113,"Fri","13-Aug-2010",2010,"7:40","Essendon","Collingwood",59277,"M.C.G.",6.64,1.1,NA,1.1,6.64,5.54,50394.4829157175,8882.51708428246,61878.2051282051,-2601.20512820513,-0.0420375012949342,7
"114",114,"Sun","08-Aug-2010",2010,"4:10","Adelaide","Western Bulldogs",29321,"Football",3.21,1.33,NA,1.33,3.21,1.88,29323.4845360825,-2.48453608247291,35829.2040816327,-6508.20408163266,-0.181645231828328,4
"115",115,"Sun","08-Aug-2010",2010,"2:10","Melbourne","Richmond",45844,"M.C.G.",1.52,2.47,NA,1.52,2.47,0.95,50394.4829157175,-4550.48291571754,35367.7023809524,10476.2976190476,0.296210862277831,2
"116",116,"Sun","08-Aug-2010",2010,"1:10","St Kilda","Port Adelaide",22467,"Docklands",1.2,4.4,NA,1.2,4.4,3.2,31157.9865168539,-8690.98651685393,30626.3473684211,-8159.34736842105,-0.266415948015864,1
"117",117,"Sat","07-Aug-2010",2010,"7:10","Geelong","Collingwood",84401,"M.C.G.",1.76,1.99,NA,1.76,1.99,0.23,50394.4829157175,34006.5170842825,63025.65,21375.35,0.339153186044095,7
"118",118,"Sat","07-Aug-2010",2010,"5:40","West Coast","Brisbane Lions",32587,"Subiaco",1.61,2.25,NA,1.61,2.25,0.64,35153.3529411765,-2566.35294117647,36141.247311828,-3554.24731182796,-0.0983432387145299,5
