"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"92",1660,21,"Sun",2018-08-12,2018,1899-12-31 01:10:00,"North Melbourne","Western Bulldogs",27031,"Docklands",1.29,3.51,"178.5",1.29,3.51,2.22,31157.9865168539,-4126.98651685393,27670.4819277108,-639.481927710844,-0.0231106176387347,1
"93",1678,19,"Sun",2018-07-29,2018,1899-12-31 01:10:00,"North Melbourne","West Coast",11176,"Bellerive",1.68,2.16,"163.5",1.68,2.16,0.48,12573.0555555556,-1397.05555555555,12573.0555555556,-1397.05555555555,-0.111115038773391,1
"94",1695,17,"Sun",2018-07-15,2018,1899-12-31 03:20:00,"North Melbourne","Sydney",25633,"Docklands",1.87,1.91,"165.5",1.87,1.91,0.0399999999999998,31157.9865168539,-5524.98651685393,27670.4819277108,-2037.48192771084,-0.0736337709272201,3
"95",1705,16,"Sun",2018-07-08,2018,1899-12-31 01:10:00,"North Melbourne","Gold Coast",14389,"Docklands",1.07,8.1,"177.5",1.07,8.1,7.03,31157.9865168539,-16768.9865168539,27670.4819277108,-13281.4819277108,-0.479987372912721,1
"96",1742,11,"Sun",2018-06-03,2018,1899-12-31 01:10:00,"North Melbourne","Brisbane Lions",22133,"Docklands",1.23,4.19,"179.5",1.23,4.19,2.96,31157.9865168539,-9024.98651685393,27670.4819277108,-5537.48192771084,-0.200122352121568,1
"97",1764,9,"Sat",2018-05-19,2018,1899-12-31 01:45:00,"North Melbourne","Greater Western Sydney",7194,"Bellerive",1.46,2.74,"163.5",1.46,2.74,1.28,12573.0555555556,-5379.05555555555,12573.0555555556,-5379.05555555555,-0.427824050549014,1
"98",1767,8,"Sun",2018-05-13,2018,1899-12-31 01:10:00,"North Melbourne","Richmond",29153,"Docklands",3.57,1.29,"171.5",1.29,3.57,2.28,31157.9865168539,-2004.98651685393,27670.4819277108,1482.51807228916,0.0535776021596673,1
"99",1790,6,"Sat",2018-04-28,2018,1899-12-31 02:10:00,"North Melbourne","Port Adelaide",17617,"Docklands",2.17,1.68,"176.5",1.68,2.17,0.49,31157.9865168539,-13540.9865168539,27670.4819277108,-10053.4819277108,-0.363328761456905,2
"100",1796,5,"Sun",2018-04-22,2018,1899-12-31 03:20:00,"North Melbourne","Hawthorn",27981,"Docklands",2.5,1.53,"189.5",1.53,2.5,0.97,31157.9865168539,-3176.98651685393,27670.4819277108,310.518072289156,0.0112219972568741,3
"101",1806,4,"Sat",2018-04-14,2018,1899-12-31 07:25:00,"North Melbourne","Carlton",14266,"Bellerive",1.52,2.53,"171.5",1.52,2.53,1.01,12573.0555555556,1692.94444444445,12573.0555555556,1692.94444444445,0.134648609239335,7
"102",1827,2,"Fri",2018-03-30,2018,1899-12-31 04:20:00,"North Melbourne","St Kilda",33966,"Docklands",3.1,1.37,"192.5",1.37,3.1,1.73,31157.9865168539,2808.01348314607,27670.4819277108,6295.51807228916,0.22751747109921,4
