"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"85",720,16,"Sat",2013-07-13,2013,1899-12-31 02:10:00,"Geelong","Melbourne",23172,"Kardinia",1.01,17.58,"NA",1.01,17.58,16.57,24884.9718309859,-1712.97183098592,24884.9718309859,-1712.97183098592,-0.0688355945355334,2
"86",727,15,"Sat",2013-07-06,2013,1899-12-31 07:40:00,"Geelong","Hawthorn",85197,"M.C.G.",2.25,1.63,"NA",1.63,2.25,0.62,50394.4829157175,34802.5170842825,63025.65,22171.35,0.351782964554907,7
"87",735,14,"Sat",2013-06-29,2013,1899-12-31 07:40:00,"Geelong","Fremantle",26743,"Kardinia",1.37,3.08,"NA",1.37,3.08,1.71,24884.9718309859,1858.02816901408,24884.9718309859,1858.02816901408,0.0746646683642427,7
"88",741,13,"Sun",2013-06-23,2013,1899-12-31 04:40:00,"Brisbane Lions","Geelong",24164,"Gabba",5.58,1.14,"NA",1.14,5.58,4.44,20680.4862385321,3483.51376146789,20786.5428571429,3377.45714285714,0.162482870098649,4
"89",757,11,"Sat",2013-06-08,2013,1899-12-31 01:40:00,"Greater Western Sydney","Geelong",7809,"Sydney",17.9,1.01,"NA",1.01,17.9,16.89,10800.6603773585,-2991.66037735849,10800.6603773585,-2991.66037735849,-0.276988653733612,1
"90",762,10,"Sat",2013-06-01,2013,1899-12-31 07:40:00,"Geelong","Gold Coast",30087,"Kardinia",1.03,13.05,"NA",1.03,13.05,12.02,24884.9718309859,5202.02816901408,24884.9718309859,5202.02816901408,0.209042959917547,7
"91",775,9,"Sat",2013-05-25,2013,1899-12-31 01:15:00,"Port Adelaide","Geelong",21309,"Football",4.71,1.18,"NA",1.18,4.71,3.53,29323.4845360825,-8014.48453608247,22682.2291666667,-1373.22916666667,-0.0605420726762049,1
"92",780,8,"Sat",2013-05-18,2013,1899-12-31 07:40:00,"Collingwood","Geelong",66768,"M.C.G.",3.29,1.33,"NA",1.33,3.29,1.96,50394.4829157175,16373.5170842825,57107.1149425287,9660.88505747126,0.169171303211408,7
"93",794,7,"Fri",2013-05-10,2013,1899-12-31 07:50:00,"Geelong","Essendon",53014,"Docklands",1.65,2.21,"NA",1.65,2.21,0.56,31157.9865168539,21856.0134831461,39256,13758,0.350468718157734,7
"94",799,6,"Sat",2013-05-04,2013,1899-12-31 07:40:00,"Richmond","Geelong",55625,"M.C.G.",2.94,1.39,"NA",1.39,2.94,1.55,50394.4829157175,5230.51708428246,50149.0454545455,5475.95454545454,0.109193594729891,7
"95",807,5,"Sat",2013-04-27,2013,1899-12-31 07:40:00,"Western Bulldogs","Geelong",26153,"Docklands",13.89,1.02,"NA",1.02,13.89,12.87,31157.9865168539,-5004.98651685393,28841.2391304348,-2688.23913043478,-0.093208170365954,7
"96",821,4,"Fri",2013-04-19,2013,1899-12-31 07:50:00,"Sydney","Geelong",31060,"S.C.G.",1.6,2.33,"NA",1.6,2.33,0.73,29955.7356321839,1104.26436781609,29955.7356321839,1104.26436781609,0.0368632031399586,7
"97",825,3,"Sat",2013-04-13,2013,1899-12-31 07:40:00,"Geelong","Carlton",43241,"Docklands",1.51,2.53,"NA",1.51,2.53,1.02,31157.9865168539,12083.0134831461,39256,3985,0.101513144487467,7
"98",833,2,"Sun",2013-04-07,2013,1899-12-31 01:10:00,"Geelong","North Melbourne",34152,"Docklands",1.43,2.79,"NA",1.43,2.79,1.36,31157.9865168539,2994.01348314607,39256,-5104,-0.130018341145303,1
"99",840,1,"Mon",2013-04-01,2013,1899-12-31 03:20:00,"Hawthorn","Geelong",76300,"M.C.G.",1.6,2.32,"NA",1.6,2.32,0.72,50394.4829157175,25905.5170842825,49782.9508196721,26517.0491803279,0.532653222513468,3
"100",852,23,"Sat",2014-08-30,2014,1899-12-31 07:40:00,"Geelong","Brisbane Lions",24659,"Kardinia",1.1,7.65,"176.5",1.1,7.65,6.55,24884.9718309859,-225.971830985916,24884.9718309859,-225.971830985916,-0.00908065448177618,7
"101",861,22,"Sat",2014-08-23,2014,1899-12-31 07:40:00,"Hawthorn","Geelong",72216,"M.C.G.",1.51,2.57,"186.5",1.51,2.57,1.06,50394.4829157175,21821.5170842825,49782.9508196721,22433.0491803279,0.450617105072512,7
"102",875,21,"Fri",2014-08-15,2014,1899-12-31 07:50:00,"Carlton","Geelong",38812,"Docklands",2.74,1.45,"194.5",1.45,2.74,1.29,31157.9865168539,7654.01348314607,32309.6481481481,6502.35185185185,0.201251088282883,7
"103",879,20,"Sat",2014-08-09,2014,1899-12-31 07:40:00,"Geelong","Fremantle",26885,"Kardinia",1.46,2.75,"159.5",1.46,2.75,1.29,24884.9718309859,2000.02816901408,24884.9718309859,2000.02816901408,0.0803709235677622,7
"104",889,19,"Sat",2014-08-02,2014,1899-12-31 07:40:00,"North Melbourne","Geelong",32564,"Docklands",2.23,1.65,"189.5",1.65,2.23,0.58,31157.9865168539,1406.01348314607,27670.4819277108,4893.51807228916,0.176849759432216,7
"105",900,18,"Sat",2014-07-19,2014,1899-12-31 07:40:00,"Greater Western Sydney","Geelong",7697,"Sydney",7.67,1.08,"190.5",1.08,7.67,6.59,10800.6603773585,-3103.66037735849,10800.6603773585,-3103.66037735849,-0.28735839003555,7
"106",910,17,"Sat",2014-07-12,2014,1899-12-31 01:45:00,"Melbourne","Geelong",36385,"M.C.G.",6.13,1.12,"155.5",1.12,6.13,5.01,50394.4829157175,-14009.4829157175,35367.7023809524,1017.29761904762,0.0287634635716538,1
"107",912,16,"Sun",2014-07-06,2014,1899-12-31 04:40:00,"Geelong","Western Bulldogs",24766,"Kardinia",1.13,5.72,"175.5",1.13,5.72,4.59,24884.9718309859,-118.971830985916,24884.9718309859,-118.971830985916,-0.00478087063123683,4
"108",929,15,"Fri",2014-06-27,2014,1899-12-31 07:50:00,"Geelong","Essendon",43732,"Docklands",1.36,3.09,"185.5",1.36,3.09,1.73,31157.9865168539,12574.0134831461,39256,4476,0.114020786631343,7
