"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"62",524,16,"Fri",2012-07-13,2012,1899-12-31 07:50:00,"North Melbourne","Carlton",46423,"Docklands",2.12,1.7,"NA",1.7,2.12,0.42,31157.9865168539,15265.0134831461,27670.4819277108,18752.5180722892,0.677708401367209,7
"63",532,15,"Sat",2012-07-07,2012,1899-12-31 01:45:00,"North Melbourne","West Coast",14113,"Bellerive",2.67,1.46,"NA",1.46,2.67,1.21,12573.0555555556,1539.94444444445,12573.0555555556,1539.94444444445,0.122479729580452,1
"64",534,14,"Sun",2012-07-01,2012,1899-12-31 04:40:00,"St Kilda","North Melbourne",33106,"Docklands",1.38,2.97,"NA",1.38,2.97,1.59,31157.9865168539,1948.01348314607,30626.3473684211,2479.65263157895,0.0809646870960436,4
"65",543,13,"Sun",2012-06-24,2012,1899-12-31 04:40:00,"North Melbourne","Adelaide",18866,"Docklands",3.12,1.35,"NA",1.35,3.12,1.77,31157.9865168539,-12291.9865168539,27670.4819277108,-8804.48192771084,-0.318190407767836,4
"66",551,12,"Sat",2012-06-16,2012,1899-12-31 07:40:00,"Gold Coast","North Melbourne",10170,"Carrara",5.21,1.16,"NA",1.16,5.21,4.05,14013.1604938272,-3843.16049382716,14048.65,-3878.65,-0.276087026155538,7
"67",567,10,"Sat",2012-06-02,2012,1899-12-31 02:10:00,"Hawthorn","North Melbourne",16143,"York",1.26,3.81,"NA",1.26,3.81,2.55,14457.1578947368,1685.84210526316,14457.1578947368,1685.84210526316,0.11660951049562,2
"68",572,9,"Sun",2012-05-27,2012,1899-12-31 01:10:00,"North Melbourne","Brisbane Lions",19988,"Docklands",1.24,4.04,"NA",1.24,4.04,2.8,31157.9865168539,-11169.9865168539,27670.4819277108,-7682.48192771084,-0.27764178259639,1
"69",586,8,"Sat",2012-05-19,2012,1899-12-31 01:15:00,"Port Adelaide","North Melbourne",14508,"Football",2.64,1.47,"NA",1.47,2.64,1.17,29323.4845360825,-14815.4845360825,22682.2291666667,-8174.22916666667,-0.360380327109971,1
"70",590,7,"Sun",2012-05-13,2012,1899-12-31 01:10:00,"North Melbourne","Western Bulldogs",20885,"Docklands",1.32,3.39,"NA",1.32,3.39,2.07,31157.9865168539,-10272.9865168539,27670.4819277108,-6785.48192771084,-0.24522456621601,1
"71",597,6,"Sun",2012-05-06,2012,1899-12-31 02:40:00,"West Coast","North Melbourne",37202,"Subiaco",1.28,3.61,"NA",1.28,3.61,2.33,35153.3529411765,2048.64705882353,36141.247311828,1060.75268817204,0.0293501958861527,2
"72",611,5,"Sat",2012-04-28,2012,1899-12-31 04:40:00,"North Melbourne","Gold Coast",17680,"Docklands",1.01,15.53,"NA",1.01,15.53,14.52,31157.9865168539,-13477.9865168539,27670.4819277108,-9990.48192771084,-0.361051966995406,4
"73",616,4,"Sun",2012-04-22,2012,1899-12-31 03:15:00,"Sydney","North Melbourne",21049,"S.C.G.",1.88,1.86,"NA",1.86,1.88,0.0199999999999998,29955.7356321839,-8906.73563218391,29955.7356321839,-8906.73563218391,-0.297329891729137,3
"74",624,3,"Sun",2012-04-15,2012,1899-12-31 04:40:00,"North Melbourne","Geelong",29630,"Docklands",4.09,1.22,"NA",1.22,4.09,2.87,31157.9865168539,-1527.98651685393,27670.4819277108,1959.51807228916,0.0708161887967257,4
"75",635,2,"Sun",2012-04-08,2012,1899-12-31 01:10:00,"North Melbourne","Greater Western Sydney",11127,"Bellerive",1.01,15.94,"NA",1.01,15.94,14.93,12573.0555555556,-1446.05555555555,12573.0555555556,-1446.05555555555,-0.11501226167068,1
"76",644,1,"Sat",2012-03-31,2012,1899-12-31 07:45:00,"North Melbourne","Essendon",45818,"Docklands",2.14,1.66,"NA",1.66,2.14,0.48,31157.9865168539,14660.0134831461,27670.4819277108,18147.5180722892,0.6558439466179,7
"77",652,23,"Sun",2013-09-01,2013,1899-12-31 03:20:00,"Collingwood","North Melbourne",50958,"M.C.G.",1.62,2.27,"NA",1.62,2.27,0.65,50394.4829157175,563.517084282459,57107.1149425287,-6149.11494252874,-0.107676862133853,3
"78",666,22,"Sat",2013-08-24,2013,1899-12-31 02:10:00,"North Melbourne","Hawthorn",33039,"Docklands",3.28,1.34,"NA",1.34,3.28,1.94,31157.9865168539,1881.01348314607,27670.4819277108,5368.51807228916,0.194016066880021,2
"79",674,21,"Sat",2013-08-17,2013,1899-12-31 04:40:00,"Essendon","North Melbourne",34102,"Docklands",2.73,1.45,"NA",1.45,2.73,1.28,31157.9865168539,2944.01348314607,36322.6666666667,-2220.66666666666,-0.0611372145951104,4
"80",679,20,"Sun",2013-08-11,2013,1899-12-31 02:50:00,"Adelaide","North Melbourne",31801,"Football",2.04,1.75,"NA",1.75,2.04,0.29,29323.4845360825,2477.51546391753,35829.2040816327,-4028.20408163266,-0.112427953254414,2
"81",695,19,"Fri",2013-08-02,2013,1899-12-31 07:50:00,"North Melbourne","Geelong",33584,"Docklands",3.35,1.32,"NA",1.32,3.35,2.03,31157.9865168539,2426.01348314607,27670.4819277108,5913.51807228916,0.213712145951712,7
"82",702,18,"Sat",2013-07-27,2013,1899-12-31 02:10:00,"Melbourne","North Melbourne",16962,"Docklands",13.31,1.03,"NA",1.03,13.31,12.28,31157.9865168539,-14195.9865168539,16716.5,245.5,0.0146860885951006,2
"83",713,17,"Fri",2013-07-19,2013,1899-12-31 07:50:00,"North Melbourne","Carlton",37443,"Docklands",1.65,2.21,"NA",1.65,2.21,0.56,31157.9865168539,6285.01348314607,27670.4819277108,9772.51807228916,0.353174841617138,7
"84",717,16,"Sat",2013-07-13,2013,1899-12-31 07:40:00,"Brisbane Lions","North Melbourne",18131,"Gabba",2.82,1.43,"NA",1.43,2.82,1.39,20680.4862385321,-2549.48623853211,20786.5428571429,-2655.54285714286,-0.1277529830426,7
"85",729,15,"Sat",2013-07-06,2013,1899-12-31 02:10:00,"North Melbourne","Richmond",45966,"Docklands",2.65,1.47,"NA",1.47,2.65,1.18,31157.9865168539,14808.0134831461,27670.4819277108,18295.5180722892,0.66119260662269,2
"86",733,14,"Sun",2013-06-30,2013,1899-12-31 03:20:00,"North Melbourne","Greater Western Sydney",15438,"Docklands",1.01,18.75,"NA",1.01,18.75,17.74,31157.9865168539,-15719.9865168539,27670.4819277108,-12232.4819277108,-0.442076938149043,3
"87",742,13,"Sun",2013-06-23,2013,1899-12-31 01:20:00,"Fremantle","North Melbourne",31637,"Subiaco",1.32,3.35,"NA",1.32,3.35,2.03,35153.3529411765,-3516.35294117647,34175.9680851064,-2538.96808510638,-0.0742910362856069,1
"88",755,11,"Sat",2013-06-08,2013,1899-12-31 07:40:00,"Gold Coast","North Melbourne",10891,"Carrara",3.4,1.31,"NA",1.31,3.4,2.09,14013.1604938272,-3122.16049382716,14048.65,-3157.65,-0.224765368914451,7
"89",760,10,"Sun",2013-06-02,2013,1899-12-31 04:40:00,"North Melbourne","St Kilda",25658,"Docklands",1.22,4.29,"NA",1.22,4.29,3.07,31157.9865168539,-5499.98651685393,27670.4819277108,-2012.48192771084,-0.0727302810615462,4
"90",769,9,"Sun",2013-05-26,2013,1899-12-31 03:20:00,"North Melbourne","Adelaide",23033,"Docklands",1.44,2.74,"NA",1.44,2.74,1.3,31157.9865168539,-8124.98651685393,27670.4819277108,-4637.48192771084,-0.167596716957307,3
"91",785,8,"Fri",2013-05-17,2013,1899-12-31 06:40:00,"West Coast","North Melbourne",38146,"Subiaco",1.37,3.06,"NA",1.37,3.06,1.69,35153.3529411765,2992.64705882353,36141.247311828,2004.75268817204,0.0554699363548514,6
"92",791,7,"Sat",2013-05-11,2013,1899-12-31 04:40:00,"Western Bulldogs","North Melbourne",23690,"Docklands",7.64,1.08,"NA",1.08,7.64,6.56,31157.9865168539,-7467.98651685393,28841.2391304348,-5151.23913043478,-0.178606720298606,4
"93",801,6,"Sat",2013-05-04,2013,1899-12-31 02:10:00,"North Melbourne","Port Adelaide",10265,"Bellerive",1.38,2.98,"NA",1.38,2.98,1.6,12573.0555555556,-2308.05555555555,12573.0555555556,-2308.05555555555,-0.183571570598502,2
"94",804,5,"Sun",2013-04-28,2013,1899-12-31 04:40:00,"Hawthorn","North Melbourne",42103,"M.C.G.",1.18,4.89,"NA",1.18,4.89,3.71,50394.4829157175,-8291.48291571754,49782.9508196721,-7679.95081967213,-0.154268694266257,4
"95",813,4,"Sun",2013-04-21,2013,1899-12-31 04:40:00,"North Melbourne","Brisbane Lions",22776,"Docklands",1.27,3.78,"NA",1.27,3.78,2.51,31157.9865168539,-8381.98651685393,27670.4819277108,-4894.48192771084,-0.176884592776435,4
"96",829,3,"Sat",2013-04-13,2013,1899-12-31 01:45:00,"North Melbourne","Sydney",13223,"Bellerive",2.11,1.72,"NA",1.72,2.11,0.39,12573.0555555556,649.944444444445,12573.0555555556,649.944444444445,0.0516934361398936,1
"97",833,2,"Sun",2013-04-07,2013,1899-12-31 01:10:00,"Geelong","North Melbourne",34152,"Docklands",1.43,2.79,"NA",1.43,2.79,1.36,31157.9865168539,2994.01348314607,39256,-5104,-0.130018341145303,1
"98",841,1,"Sun",2013-03-31,2013,1899-12-31 04:40:00,"North Melbourne","Collingwood",41040,"Docklands",2.38,1.58,"NA",1.58,2.38,0.8,31157.9865168539,9882.01348314607,27670.4819277108,13369.5180722892,0.483168963490301,4
"99",853,23,"Sat",2014-08-30,2014,1899-12-31 07:40:00,"North Melbourne","Melbourne",17174,"Docklands",1.08,8.03,"166.5",1.08,8.03,6.95,31157.9865168539,-13983.9865168539,27670.4819277108,-10496.4819277108,-0.379338601876646,7
"100",865,22,"Sat",2014-08-23,2014,1899-12-31 01:45:00,"North Melbourne","Adelaide",10702,"Bellerive",1.85,1.97,"183.5",1.85,1.97,0.12,12573.0555555556,-1871.05555555555,12573.0555555556,-1871.05555555555,-0.148814705167576,1
"101",869,21,"Sun",2014-08-17,2014,1899-12-31 01:10:00,"North Melbourne","Western Bulldogs",27164,"Docklands",1.35,3.22,"186.5",1.35,3.22,1.87,31157.9865168539,-3993.98651685393,27670.4819277108,-506.481927710844,-0.0183040515533495,1
"102",883,20,"Sat",2014-08-09,2014,1899-12-31 01:45:00,"Greater Western Sydney","North Melbourne",10211,"Manuka",5.51,1.15,"190.5",1.15,5.51,4.36,10349.7083333333,-138.708333333334,10313.8095238095,-102.809523809523,-0.00996814257352593,1
"103",889,19,"Sat",2014-08-02,2014,1899-12-31 07:40:00,"North Melbourne","Geelong",32564,"Docklands",2.23,1.65,"189.5",1.65,2.23,0.58,31157.9865168539,1406.01348314607,27670.4819277108,4893.51807228916,0.176849759432216,7
"104",902,18,"Fri",2014-07-18,2014,1899-12-31 07:50:00,"Carlton","North Melbourne",36689,"Docklands",3.97,1.24,"191.5",1.24,3.97,2.73,31157.9865168539,5531.01348314607,32309.6481481481,4379.35185185185,0.135543161342129,7
"105",909,17,"Sat",2014-07-12,2014,1899-12-31 02:10:00,"North Melbourne","St Kilda",10641,"Bellerive",1.04,11.65,"177.5",1.04,11.65,10.61,12573.0555555556,-1932.05555555555,12573.0555555556,-1932.05555555555,-0.153666349998895,2
"106",920,16,"Fri",2014-07-04,2014,1899-12-31 07:50:00,"North Melbourne","Hawthorn",35025,"Docklands",3.89,1.25,"195.5",1.25,3.89,2.64,31157.9865168539,3867.01348314607,27670.4819277108,7354.51807228916,0.265789301809157,7
