"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"63",1078,20,"Sat",2015-08-15,2015,1899-12-31 07:20:00,"Geelong","Hawthorn",55802,"M.C.G.",4.17,1.23,"182.5",1.23,4.17,2.94,50394.4829157175,5407.51708428246,63025.65,-7223.65,-0.114614446657829,7
"64",1087,19,"Sat",2015-08-08,2015,1899-12-31 07:20:00,"Geelong","Sydney",27910,"Kardinia",1.86,1.95,"160.5",1.86,1.95,0.0899999999999999,24884.9718309859,3025.02816901408,24884.9718309859,3025.02816901408,0.121560441762181,7
"65",1099,18,"Sat",2015-08-01,2015,1899-12-31 01:45:00,"Geelong","Brisbane Lions",21913,"Kardinia",1.11,6.73,"168.5",1.11,6.73,5.62,24884.9718309859,-2971.97183098592,24884.9718309859,-2971.97183098592,-0.11942837834702,1
"66",1117,16,"Sat",2015-07-18,2015,1899-12-31 01:45:00,"Geelong","Western Bulldogs",25041,"Kardinia",1.57,2.4,"177.5",1.57,2.4,0.83,24884.9718309859,156.028169014084,24884.9718309859,156.028169014084,0.00626997571360731,1
"67",1142,12,"Sun",2015-06-21,2015,1899-12-31 03:20:00,"Geelong","Melbourne",28007,"Kardinia",1.11,6.49,"166.5",1.11,6.49,5.38,24884.9718309859,3122.02816901408,24884.9718309859,3122.02816901408,0.125458376654726,3
"68",1180,8,"Fri",2015-05-22,2015,1899-12-31 07:50:00,"Geelong","Carlton",32032,"Docklands",1.23,4.21,"189.5",1.23,4.21,2.98,31157.9865168539,874.013483146067,39256,-7224,-0.184022824536377,7
"69",1209,4,"Sun",2015-04-26,2015,1899-12-31 03:20:00,"Geelong","North Melbourne",23452,"Kardinia",2.26,1.63,"180.5",1.63,2.26,0.63,24884.9718309859,-1432.97183098592,24884.9718309859,-1432.97183098592,-0.0575838237116921,3
"70",1218,3,"Sun",2015-04-19,2015,1899-12-31 03:20:00,"Geelong","Gold Coast",20813,"Kardinia",1.17,5.2,"178.5",1.17,5.2,4.03,24884.9718309859,-4071.97183098592,24884.9718309859,-4071.97183098592,-0.163631763726396,3
"71",1228,2,"Sun",2015-04-12,2015,1899-12-31 01:10:00,"Geelong","Fremantle",23723,"Kardinia",2.26,1.65,"165.5",1.65,2.26,0.61,24884.9718309859,-1161.97183098592,24884.9718309859,-1161.97183098592,-0.0466937169500457,1
"72",1251,23,"Sat",2016-08-27,2016,1899-12-31 01:45:00,"Geelong","Melbourne",24413,"Kardinia",1.15,5.49,"172.5",1.15,5.49,4.34,24884.9718309859,-471.971830985916,24884.9718309859,-471.971830985916,-0.0189661388484368,1
"73",1272,20,"Sun",2016-08-07,2016,1899-12-31 03:20:00,"Geelong","Essendon",29254,"Docklands",1.01,16.14,"184.5",1.01,16.14,15.13,31157.9865168539,-1903.98651685393,39256,-10002,-0.25478907682902,3
"74",1288,19,"Fri",2016-07-29,2016,1899-12-31 07:50:00,"Geelong","Western Bulldogs",24331,"Kardinia",1.23,4.12,"153.5",1.23,4.12,2.89,24884.9718309859,-553.971830985916,24884.9718309859,-553.971830985916,-0.0222613003039903,7
"75",1292,18,"Sat",2016-07-23,2016,1899-12-31 07:25:00,"Geelong","Adelaide",21127,"Kardinia",1.87,1.92,"178.5",1.87,1.92,0.0499999999999998,24884.9718309859,-3757.97183098592,24884.9718309859,-3757.97183098592,-0.151013706445374,7
"76",1314,16,"Fri",2016-07-08,2016,1899-12-31 07:50:00,"Geelong","Sydney",24339,"Kardinia",1.37,3.1,"165.5",1.37,3.1,1.73,24884.9718309859,-545.971830985916,24884.9718309859,-545.971830985916,-0.0219398211375948,7
"77",1339,12,"Sat",2016-06-11,2016,1899-12-31 07:25:00,"Geelong","North Melbourne",44025,"Docklands",1.89,1.9,"180.5",1.89,1.9,0.01,31157.9865168539,12867.0134831461,39256,4769,0.121484613816996,7
"78",1348,11,"Sat",2016-06-04,2016,1899-12-31 04:35:00,"Geelong","Greater Western Sydney",22007,"Kardinia",1.5,2.58,"167.5",1.5,2.58,1.08,24884.9718309859,-2877.97183098592,24884.9718309859,-2877.97183098592,-0.115650998141873,4
"79",1385,7,"Sat",2016-05-07,2016,1899-12-31 02:10:00,"Geelong","West Coast",25429,"Kardinia",1.5,2.58,"182.5",1.5,2.58,1.08,24884.9718309859,544.028169014084,24884.9718309859,544.028169014084,0.0218617152837874,2
"80",1391,6,"Sat",2016-04-30,2016,1899-12-31 07:25:00,"Geelong","Gold Coast",23007,"Kardinia",1.08,7.62,"182.5",1.08,7.62,6.54,24884.9718309859,-1877.97183098592,24884.9718309859,-1877.97183098592,-0.0754661023424399,7
"81",1415,3,"Sun",2016-04-10,2016,1899-12-31 04:40:00,"Geelong","Brisbane Lions",23320,"Kardinia",1.04,11.7,"191.5",1.04,11.7,10.66,24884.9718309859,-1564.97183098592,24884.9718309859,-1564.97183098592,-0.0628882299572173,4
