"","Date","Round","Day","Year","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket","Rain","rain.prior.day","rain.2days.prior","rain.3days.prior","rain.past.three.days","Home.Injuries.top5","Home.Injuries.top10","Home.Injuries.top25","Home.Injuries.top50","Home.Injuries.Total","Home.Rating.Points.Missing","Away.Injuries.top5","Away.Injuries.top10","Away.Injuries.top25","Away.Injuries.top50","Away.Injuries.Total","Away.Rating.Points.Missing","Total.Injuries.top5","Total.Injuries.top10","Total.Injuries.top25","Total.Injuries.top50","Total.Injuries.Total","Total.Rating.Points.Missing"
"53",2013-07-28,18,"Sun",2013,"Port Adelaide","Brisbane Lions",22631,"Football",1.38,3,"NA",1.38,3,1.62,29323.4845360825,-6692.48453608247,22682.2291666667,-51.2291666666679,-0.00225855961026764,12,"0.6","0","0","0","0",0,0,0,0,2,103.625,0,0,1,1,1,96.2,0,0,1,1,3,199.825
"54",2013-08-04,19,"Sun",2013,"Adelaide","Port Adelaide",43368,"Football",2.01,1.78,"NA",1.78,2.01,0.23,29323.4845360825,14044.5154639175,35829.2040816327,7538.79591836734,0.210409248868356,2,"5","1.8","2.8","0","4.5999999999999996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",2013-08-11,20,"Sun",2013,"Adelaide","North Melbourne",31801,"Football",2.04,1.75,"NA",1.75,2.04,0.29,29323.4845360825,2477.51546391753,35829.2040816327,-4028.20408163266,-0.112427953254414,2,"0.2","0.2","0","0","0.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",2013-08-17,21,"Sat",2013,"Port Adelaide","Gold Coast",18703,"Football",1.2,4.56,"NA",1.2,4.56,3.36,29323.4845360825,-10620.4845360825,22682.2291666667,-3979.22916666667,-0.175433778462765,1,"13","0","0","5.4","5.4",0,0,0,0,2,105.208333333333,0,0,0,1,4,206.376923076923,0,0,0,1,6,311.585256410256
"57",2013-08-24,22,"Sat",2013,"Adelaide","Melbourne",34653,"Football",1.02,15.5,"NA",1.02,15.5,14.48,29323.4845360825,5329.51546391753,35829.2040816327,-1176.20408163266,-0.0328280828944124,1,"1.4","4.5999999999999996","8.6","0.4","13.6",0,0,0,0,1,59,0,0,0,0,4,203.763101604278,0,0,0,0,5,262.763101604278
"58",2013-08-31,23,"Sat",2013,"Port Adelaide","Carlton",45127,"Football",1.88,1.87,"NA",1.87,1.88,0.00999999999999979,29323.4845360825,15803.5154639175,22682.2291666667,22444.7708333333,0.989531084815848,4,"0","2","7.4","0.2","9.6",0,0,0,0,2,102.251748251748,0,0,1,1,1,84.3636363636363,0,0,1,1,3,186.615384615384
"59",2014-03-29,2,"Sat",2014,"Port Adelaide","Adelaide",50397,"Adelaide",1.69,2.12,"191.5",1.69,2.12,0.43,43516.4,6880.6,40427.5357142857,9969.46428571428,0.246600840480896,4,"0","0","2","1","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",2014-04-05,3,"Sat",2014,"Adelaide","Sydney",47426,"Adelaide",1.99,1.78,"181.5",1.78,1.99,0.21,43516.4,3909.6,46719.6666666667,706.333333333336,0.0151185439393832,1,"0","0.6","0","0.6","1.2",0,0,1,1,2,142.409090909091,0,0,0,1,2,140.259523809524,0,0,1,2,4,282.668614718615
"61",2014-04-12,4,"Sat",2014,"Port Adelaide","Brisbane Lions",36231,"Adelaide",1.13,5.83,"187.5",1.13,5.83,4.7,43516.4,-7285.4,40427.5357142857,-4196.53571428572,-0.103803896036206,1,"0.4","3","4.2","7","14.2",0,0,0,1,2,147.737745098039,0,0,0,1,3,200.402631578947,0,0,0,2,5,348.140376676986
"62",2014-04-20,5,"Sun",2014,"Adelaide","Greater Western Sydney",44770,"Adelaide",1.12,6.19,"194.5",1.12,6.19,5.07,43516.4,1253.6,46719.6666666667,-1949.66666666666,-0.0417311767349938,12,"0","0","1","NA","NA",0,0,0,0,0,0,0,0,1,1,1,93,0,0,1,1,1,93
